Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,TargetAngle1,TargetAngle2
93,0.185960,-32.5494499,-23.911068,-43.2330246,1.72672653,-42.2176933,2.78230572
94,0.187960,-32.5169258,-23.9188271,-43.1893082,1.77043962,-42.1882553,2.81174493
95,0.189963,-32.4845123,-23.9270725,-43.1893082,1.79229641,-42.1586037,2.84139681
96,0.191976,-32.4524498,-23.9347668,-43.16745,1.81415272,-42.1291161,2.87088561
97,0.193964,-32.4212761,-23.9409313,-43.1237411,1.8360095,-42.0995064,2.90049314
98,0.195962,-32.3904152,-23.9454498,-43.0581665,1.85786629,-42.0699692,2.93003106
99,0.197963,-32.3583984,-23.9496708,-42.9925995,1.90157938,-42.0404053,2.95959353
100,0.199959,-32.3247604,-23.9546852,-42.9707413,1.94529247,-42.0106316,2.98936915
101,0.201972,-32.2916336,-23.9599991,-42.9707413,1.96714926,-41.9810181,3.0189805
102,0.203962,-32.2591362,-23.9658871,-42.9488831,1.98900557,-41.9512901,3.04871082
103,0.205959,-32.2263184,-23.9727631,-42.9488831,2.01086235,-41.921627,3.07837129
104,0.207962,-32.1936378,-23.9799137,-42.9270325,2.03271914,-41.8918495,3.10815024
105,0.209963,-32.1619148,-23.9864273,-42.9051743,2.03271914,-41.8620453,3.13795376
106,0.211977,-32.1309013,-23.9918327,-42.8396072,2.05457544,-41.8322182,3.16778183
107,0.213962,-32.0997467,-23.9962978,-42.7740326,2.07643223,-41.8023643,3.19763398
108,0.215961,-32.0687447,-24.0007153,-42.7521744,2.12014532,-41.7723961,3.22760534
109,0.217963,-32.0384979,-24.0051022,-42.7303238,2.16385841,-41.742588,3.257411
110,0.219965,-32.0085144,-24.0095444,-42.7303238,2.1857152,-41.7126656,3.28733587
111,0.221974,-31.9785328,-24.0143833,-42.7084656,2.22942829,-41.6828117,3.31718969
112,0.223964,-31.9491634,-24.0184669,-42.6866074,2.25128508,-41.6529312,3.34706759
113,0.225959,-31.9206371,-24.0215015,-42.6647491,2.27314186,-41.6228409,3.3771596
114,0.227962,-31.8924389,-24.0242882,-42.5991821,2.27314186,-41.5929146,3.40708542
115,0.229963,-31.8633728,-24.0277576,-42.5554657,2.31685495,-41.56287,3.43713021
116,0.231960,-31.833828,-24.0318909,-42.5117569,2.36056805,-41.5328979,3.46710372
117,0.233977,-31.8036861,-24.0374794,-42.4898987,2.38242483,-41.5028038,3.4971962
118,0.235964,-31.7728615,-24.0449562,-42.4898987,2.42613792,-41.4726868,3.52731276
119,0.237964,-31.7418633,-24.0529518,-42.4898987,2.46985102,-41.4425468,3.55745292
120,0.239964,-31.7115307,-24.0599823,-42.4680405,2.46985102,-41.412384,3.58761692
121,0.241962,-31.6822319,-24.0646191,-42.4243317,2.4917078,-41.3820992,3.61790037
122,0.243977,-31.6529007,-24.0670624,-42.3806152,2.4917078,-41.3519859,3.64801598
123,0.245963,-31.6225128,-24.0689735,-42.3150482,2.51356411,-41.3216515,3.67834687
124,0.247963,-31.5914288,-24.0712147,-42.29319,2.53542089,-41.2914925,3.70850921
125,0.249978,-31.5596409,-24.074564,-42.2713318,2.57913399,-41.2612076,3.73879123
126,0.251958,-31.5268803,-24.0799713,-42.2713318,2.62284756,-41.2309036,3.76909685
127,0.253974,-31.4939747,-24.0871048,-42.2494736,2.66656065,-41.200573,3.79942584
128,0.255962,-31.4621296,-24.09408,-42.2494736,2.68841696,-41.1702232,3.82977819
129,0.257995,-31.4307823,-24.1003227,-42.2494736,2.73213053,-41.1398468,3.86015391
130,0.259958,-31.4000702,-24.1054802,-42.2276154,2.75398684,-41.1095428,3.8904562
131,0.261965,-31.3690777,-24.1093483,-42.2057648,2.77584362,-41.0790253,3.92097497
132,0.263964,-31.3372097,-24.1128197,-42.1839066,2.81955671,-41.0485802,3.95142055
133,0.266002,-31.3045807,-24.1174221,-42.1183319,2.86326981,-41.0181122,3.98188925
134,0.268060,-31.2705765,-24.1242123,-42.0746231,2.90698338,-40.9876175,4.01238108
135,0.269991,-31.2350368,-24.1333542,-42.0309067,2.92883968,-40.9570084,4.04299259
136,0.272152,-31.1995087,-24.1439056,-42.0090561,2.97255278,-40.9265671,4.07343388
137,0.273965,-31.1642418,-24.1545372,-42.0090561,2.97255278,-40.8960037,4.10399437
138,0.276155,-31.1294136,-24.1642838,-41.9871979,3.01626635,-40.8655205,4.13448143
