Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle3,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree
83,0.165919,-7.1884737,-35.3390312,15.9329977,0,33.4411507,-12.2399178
84,0.167917,-7.17183971,-35.3311195,15.9236937,0,33.4630089,-12.2399178
85,0.169932,-7.15601635,-35.322197,15.9154835,0,33.4630089,-12.2399178
86,0.171913,-7.14122391,-35.3123932,15.9085255,0,33.4848633,-12.2180634
87,0.17392,-7.12646246,-35.3017464,15.9004755,0,33.4848633,-12.1962051
88,0.175934,-7.11108828,-35.2897835,15.8910007,0,33.4848633,-12.1962051
89,0.17792,-7.09502125,-35.276989,15.8812418,0,33.5067215,-12.1524925
90,0.179931,-7.07875443,-35.264328,15.8713503,0,33.5067215,-12.1087799
91,0.18192,-7.06245089,-35.2521095,15.8607407,0,33.5504341,-12.0650673
92,0.183917,-7.04555988,-35.2408218,15.8494663,0,33.5941467,-12.0213509
93,0.18592,-7.02804041,-35.2305679,15.838439,0,33.6378593,-11.9994965
94,0.187917,-7.01107311,-35.2198906,15.8288803,0,33.6815758,-11.9994965
95,0.189928,-6.99467421,-35.2083435,15.819685,0,33.7034302,-11.9776382
96,0.191918,-6.97870874,-35.1959915,15.8103294,0,33.7471428,-11.9557838
97,0.193918,-6.96303988,-35.1827927,15.8017693,0,33.769001,-11.9120712
98,0.195916,-6.94690609,-35.1688004,15.7936039,0,33.7908554,-11.8683548
99,0.197918,-6.93039942,-35.1536064,15.7843113,0,33.8345718,-11.8246422
100,0.199912,-6.91325617,-35.1378517,15.7733269,0,33.9001389,-11.7809296
101,0.20193,-6.89504004,-35.1224556,15.7619677,0,33.9219971,-11.7590752
102,0.203919,-6.87601328,-35.1079025,15.7509804,0,33.9219971,-11.7590752
103,0.205915,-6.85692167,-35.09412,15.7401304,0,33.9438553,-11.7372169
104,0.20792,-6.83846045,-35.080265,15.729084,0,33.9438553,-11.7372169
105,0.209915,-6.81996679,-35.0655632,15.7185211,0,33.9438553,-11.7153587
106,0.211927,-6.80079508,-35.0494003,15.707798,0,33.9657097,-11.6716461
107,0.213915,-6.78098392,-35.0321426,15.6957302,0,33.9657097,-11.6060753
108,0.215918,-6.76053667,-35.0157013,15.6829548,0,33.9875679,-11.5623627
109,0.217912,-6.73979187,-35.0007896,15.6698475,0,34.0094223,-11.5405083
110,0.219916,-6.71888924,-34.9863777,15.6562147,0,34.0531349,-11.5186501
111,0.221927,-6.69838238,-34.9729576,15.6436806,0,34.1187057,-11.5186501
112,0.223918,-6.67845106,-34.9607887,15.6326265,0,34.1624184,-11.4967957
113,0.225917,-6.65873718,-34.9487038,15.620388,0,34.1842766,-11.4749374
114,0.227917,-6.63926601,-34.9360313,15.607686,0,34.2279892,-11.4312248
115,0.229931,-6.61984205,-34.9234695,15.596097,0,34.2498474,-11.3656006
116,0.23192,-6.60063314,-34.910614,15.5855045,0,34.2717018,-11.321888
117,0.233931,-6.58109188,-34.8971291,15.5745497,0,34.3372726,-11.3000298
118,0.23592,-6.56042004,-34.8842697,15.5619011,0,34.3809853,-11.2781715
119,0.237917,-6.53904247,-34.8725815,15.5481081,0,34.4028435,-11.2563171
120,0.239918,-6.51751947,-34.8616371,15.5342016,0,34.4246979,-11.2563171
121,0.24192,-6.49594879,-34.851181,15.5200224,0,34.4246979,-11.2126045
